Cross,Generation,ID,photo_standard_pixels,caudal_peduncle_pixels,middle_ray_pixels,longest_ray_pixels,outside_ray_pixels
MmAk,F2,652,260.524,47.127,76.295,90.824,63.285
MmAk,F2,653,257.582,32.016,65.008,72.567,49.041
MmAk,F2,654,472.662,56.223,91.198,95.462,72.111
MmAk,F2,656,498.121,51.01,90.554,102.883,77.492
MmAk,F2,657,445.543,44.011,83.024,88.091,72.111
MmAk,F2,658,409.265,39.013,74.169,84.853,67.268
MmAk,F2,659,292.554,28.443,57.559,64.078,52.355
MmAk,F2,660,422.232,45.044,81.049,78.588,56.356
MmAk,F2,661,406.06,44.181,67.007,68.352,50
MmAk,F2,662,485.783,50,97.129,115.317,81.345
MmAk,F2,663,351.37,34.059,68.118,72.125,52.811
MmAk,F2,664,407.707,38.013,84.006,98.082,76.896
MmAk,F2,665,619.207,65.192,116.559,140.943,109.165
MmAk,F2,666,636.013,63.008,122.066,140.918,119.57
MmAk,F2,667,531.22,64.777,111.072,124.483,105.309
MmAk,F2,668,443.01,49.092,82.098,81.597,53.367
MmAk,F2,669,571.934,60.133,113.283,128.969,97.617
MmAk,F2,670,464.155,53.235,80.025,85.235,69.354
MmAk,F2,671,470.086,51.088,93.059,110.923,81.884
MmAk,F2,672,278.007,32.062,43.081,59.405,38.21
MmAk,F2,673,413.911,45.011,85.475,78.854,66.708
MmAk,F2,674,272.046,33.061,39.623,42.202,24.083
MmAk,F2,675,496.943,51.788,97.329,109.252,88.142
MmAk,F2,676,425.001,49.163,85.376,95.88,76.276
MmAk,F2,677,343.052,34.713,69.354,74.243,64.498
MmAk,F2,678,528.16,54.918,95.336,120.739,92.634
MmAk,F2,679,466.087,50.249,91.444,94.594,80.523
MmAk,F2,680,507.142,56.321,89.56,111.086,76.942
MmAk,F2,681,419.119,42.048,84.214,86.331,70.711
MmAk,F2,682,367.129,33.734,70.605,86.267,61.221
MmAk,F2,683,307.103,33,59.008,62.817,50
MmAk,F2,700,429.377,41.437,79.429,91.788,67.956
MmAk,F2,701,518.818,48.703,98.061,115.378,92.087
MmAk,F2,702,524.645,58.31,98.995,119.817,89.644
MmAk,F2,703,411.052,44.011,76.792,82.462,70.406
MmAk,F2,713,468.017,46.39,0.252,110.725,76.158
MmAk,F2,714,448.361,46.174,86.579,90.355,65.513
MmAk,F2,715,438.657,46.39,84.593,115.603,74.887
MmAk,F2,716,417.203,44.407,75.538,103.315,72.918
MmAk,F2,717,530.745,60.208,76.531,106.438,57.697
MmAk,F2,718,507.993,60.133,73.348,100.439,60.605
MmAk,F2,719,521.697,48.166,106.921,118.186,92.801
MmAk,F2,307,499.016,54.009,82.608,90.338,68.942
MmAk,F2,308,348.759,34.132,67.007,84.528,64.14
MmAk,F2,309,491.587,52.469,88.278,104.657,79.881
MmAk,F2,310,413.524,55.579,57.28,81.394,52.345
MmAk,F2,311,339.171,36.346,67.186,81.492,52.402
MmAk,F2,312,368.005,37.483,72.443,76.538,43.863
MmAk,F2,313,481.748,60.133,89.269,98.27,66.851
MmAk,F2,314,396.415,42.755,68.71,73.756,50.804
MmAk,F2,315,425.282,41.437,72.801,87.459,65.115
MmAk,F2,316,495.036,53,83.096,93.472,84.971
MmAk,F2,317,412.03,51.039,63.64,75.472,62.008
MmAk,F2,318,541.447,64,102.176,119.202,85.428
MmAk,F2,319,387.072,32.062,70.576,78.6,58
MmAk,F2,320,432.196,45.1,83.361,97.755,64.637
MmAk,F2,321,508.615,54,90.244,109.713,73.6
MmAk,F2,322,431.167,45.177,81.099,94.826,62.682
MmAk,F2,323,438.406,52.173,75.928,91.831,62.29
MmAk,F2,324,459.132,53.038,81.056,101.213,71.561
MmAk,F2,325,432.094,45.1,80,97.406,73.007
MmAk,F2,326,439.769,48.042,77.414,91.417,59.034
MmAk,F2,327,354.109,36.014,69,83.528,50.774
MmAk,F2,328,448.308,57.07,74.733,92.005,58.138
MmAk,F2,329,346.831,35,64.498,76.059,46.228
MmAk,F2,330,402.672,34.205,79.057,87.419,59.548
MmAk,F2,331,471.068,48.01,87.144,96.208,70.264
MmAk,F2,332,358.089,39.051,69.116,81.609,49.518
MmAk,F2,333,332.182,40.112,72.007,75,45.607
MmAk,F2,334,312.014,29.017,59.076,67.543,50.478
MmAk,F2,335,436.029,46.271,87.207,99.298,79.076
MmAk,F2,336,311.006,28,54.037,75.293,47.381
MmAk,F2,337,436.093,47.518,86.371,98.615,65.863
MmAk,F2,338,374.005,42.048,65.376,75.664,58.249
MmAk,F2,339,400.405,42.107,74.33,84.119,58.669
MmAk,F2,340,482.421,58.052,72.173,89.006,60.803
MmAk,F2,341,378.583,39.459,70.456,85.212,58.796
MmAk,F2,342,430.116,43.186,84.214,95.425,66.483
MmAk,F2,343,450.441,47.518,88.814,102.044,73.246
MmAk,F2,344,381.295,40.792,73.062,85.866,60.539
MmAk,F2,345,380.159,37.216,71.344,81.006,58.83
MmAk,F2,346,392.032,39.205,73.027,93.005,61.522
MmAk,F2,347,330.801,39.459,59.414,69.893,47.011
MmAk,F2,348,360.702,37.855,63.151,72.67,54.562
MmAk,F2,349,421,37.336,77,102.396,81.609
MmAk,F2,350,420.576,44.407,77.524,89.359,62.129
MmAk,F2,351,325.042,32.249,58.31,70.178,52.202
MmAk,F2,352,446.964,43.174,80.654,95.411,66.843
MmAk,F2,368,443.806,44.922,74.525,83.006,64.351
MmAk,F2,369,373.648,39.051,70.711,78.721,50.804
MmAk,F2,370,300.007,29.069,59.211,70.235,52.154
MmAk,F2,371,352.319,36.125,68.264,73.824,50.774
MmAk,F2,372,324.025,34.928,59.54,71.61,42.72
MmAk,F2,373,399.101,43.105,69.116,78.892,54.918
MmAk,F2,374,437.257,46,82.006,92.136,62.968
MmAk,F2,375,352.142,33.734,67.119,78.294,43.417
MmAk,F2,376,336.43,33.377,66.272,73.926,52.773
MmAk,F2,377,419.005,39.812,76.655,82.298,61.847
MmAk,F2,378,523.978,53.009,104.235,117.478,84.534
MmAk,F2,379,530.269,56.089,94.202,108.227,86.371
MmAk,F2,380,488.213,52.345,93.381,108.977,85.041
MmAk,F2,381,535.158,59.135,96,120.673,86.267
MmAk,F2,382,553.868,58,107.005,124.68,82.098
MmAk,F2,383,392.082,42.012,74.108,83.57,59.933
MmAk,F2,384,427.075,45.044,77.006,94.154,62.266
MmAk,F2,385,412.273,40.311,77.524,87.846,46.065
MmAk,F2,386,353.142,39.319,61.205,72.918,48.765
MmAk,F2,387,379.297,37.054,72.007,78.791,56.859
MmAk,F2,388,291.027,30.017,42.048,58.6,38.484
MmAk,F2,389,349.173,38.013,65,77.006,47.381
MmAk,F2,390,430.141,43.417,85.586,93.408,65.795
MmAk,F2,391,269.002,24.083,56.143,54.129,41.677
MmAk,F2,392,354.277,35,53.038,60.008,40.497
MmAk,F2,393,382.084,42.297,71.063,84.812,47.424
MmAk,F2,394,421.802,48.374,78.447,90.736,53.907
MmAk,F2,395,387.743,41.485,73.682,90.355,47.202
MmAk,F2,396,362.068,35,68,74.465,45.618
MmAk,F2,397,351.091,39.013,67.268,75.664,52.202
MmAk,F2,398,336.149,34.059,61.033,66.648,46.861
MmAk,F2,399,520.465,60.133,92.779,106.827,70.937
MmAk,F2,400,465.182,45.277,87.281,106.892,76.322
MmAk,F2,401,455.11,45.1,79.63,88.64,54.589
MmAk,F2,409,459.915,49.254,90.67,105,77.175
MmAk,F2,410,395.062,40.2,75.425,87.132,57.801
MmAk,F2,411,395.214,40.012,73.553,84.629,55.172
MmAk,F2,412,478.205,48,89.56,100.648,63.411
MmAk,F2,413,410.156,46.872,75.505,81.609,57.28
MmAk,F2,414,493.016,52.469,106.888,110.168,82.42
MmAk,F2,415,458.279,45.177,80.156,97.576,71.197
MmAk,F2,416,479.267,43.186,97.514,111.018,83.487
MmAk,F2,417,440.474,46.098,81.302,100.265,62.482
MmAk,F2,418,411.03,43.29,82.765,90.05,63.246
MmAk,F2,419,552.175,59.135,96.047,107.005,80.529
MmAk,F2,420,389.289,42.048,72.173,87.235,59.816
MmAk,F2,421,542.042,53.038,104.58,110.476,82.462
MmAk,F2,422,424.552,41.11,75.611,88.408,54.037
MmAk,F2,423,422.291,40.608,78.447,86.284,67.357
MmAk,F2,424,506.167,54,97.185,110.059,87.664
MmAk,F2,425,399.144,42.579,72.78,82.377,60.44
MmAk,F2,426,475.798,46.487,90.028,101.074,72.422
MmAk,F2,427,482.813,52.088,90.006,103.092,85.088
MmAk,F2,428,432.26,46.872,84.095,95.771,73.6
MmAk,F2,429,457.121,46.53,81.049,96.255,66.843
MmAk,F2,430,398.814,43.324,77.929,80.455,60.803
MmAk,F2,431,405.601,45.88,80.05,84.119,60.44
MmAk,F2,432,449.989,50.16,85.006,100.24,66.483
MmAk,F2,433,433.462,46.271,83.6,91.706,61.156
MmAk,F2,434,461.156,39,92.087,105.551,85.703
MmAk,F2,435,443.081,48.765,87.693,102.181,81.633
MmAk,F2,436,510.119,49.092,102.176,107.042,76.4
MmAk,F2,437,467.863,45.541,85.586,95.818,76.276
MmAk,F2,438,478.151,46.271,92.071,91.924,59.666
MmAk,F2,439,438.564,40.2,80.623,99.745,72.945
MmAk,F2,440,441.2,45.044,80.411,100.404,63.127
MmAk,F2,441,553.868,50,112.752,124.483,91.049
MmAk,F2,442,511.473,52,100.08,121.758,84.291
MmAk,F2,443,387.014,38.118,73.756,85.755,61.62
MmAk,F2,444,472.382,47,94.085,112.681,67.007
MmAk,F2,445,497.443,45,90.089,116.211,74.653
MmAk,F2,446,514.253,54.332,97.293,112.898,80.156
MmAk,F2,447,436.406,43.738,86.284,90.338,69.405
MmAk,F2,448,495.445,51.01,92.005,106.513,67.956
MmAk,F2,449,505.284,53.235,91.662,107.541,79.63
MmAk,F2,450,360.112,33.015,77.713,80.668,56.608
MmAk,F2,451,440.474,45.122,85,92.867,60.959
MmAk,F2,452,499.025,53.085,96.509,103.078,72.719
MmAk,F2,453,486.812,47.434,92.347,105.475,75.073
MmAk,F2,454,555.825,59.135,106.705,126.194,81.688
MmAk,F2,455,433.014,50.488,76.688,88.459,64.031
MmAk,F2,456,407.185,40.792,78.447,84.119,65.054
MmAk,F2,457,474.27,44.407,92.087,112.254,74.887
MmAk,F2,458,564.128,57.871,113.283,126.59,94.403
MmAk,F2,459,468.028,50.16,87.476,103.315,78.032
MmAk,F2,460,388.252,39.319,73.11,82.765,62.201
MmAk,F2,461,465.102,48.042,89.275,101.966,62.129
MmAk,F2,462,487.37,48,95.005,107.201,70.093
MmAk,F2,463,484.202,50.04,88.363,100.225,75.133
MmAk,F2,464,467.347,52.773,79.63,97.005,62.225
MmAk,F2,465,521.714,54.918,89.869,106.519,63.655
MmAk,F2,466,409.011,44,71.544,79.649,60.897
MmAk,F2,467,536.015,59.034,99.045,117.886,77.337
MmAk,F2,468,411.394,45.88,77.713,80.016,56.4
MmAk,F2,469,425.019,43.046,77.233,87.02,64.353
MmAk,F2,470,392.001,39.051,74.061,87.02,59.942
MmAk,F2,471,410.206,42,78.907,82.735,67.84
MmAk,F2,472,386.4,38.118,64.228,60.351,42.617
MmAk,F2,473,415.005,43.046,78.435,90.377,64.461
MmAk,F2,474,464.242,44.407,91.654,102.622,64.351
MmAk,F2,475,448.368,38.21,89.006,96.602,65.513
MmAk,F2,476,429.029,41.412,84.344,94.829,67.119
MmAk,F2,477,373.021,39.051,68.39,77.414,53.39
MmAk,F2,478,447.001,46.011,84.481,95.273,59.363
MmAk,F2,479,453.004,42.297,91.049,102.432,61.911
MmAk,F2,481,466.154,41.11,86.036,101.771,70.663
MmAk,F2,482,391.104,39.56,74.607,79.336,53.854
MmAk,F2,483,469.068,48.094,90.022,99.328,64.078
MmAk,F2,484,466.069,46.39,92.087,99.624,65.552
MmAk,F2,485,458.214,45.1,91.96,102.374,70.95
MmAk,F2,486,458.07,50.18,86.99,97.824,59.225
MmAk,F2,487,478.528,48.48,99.036,107.738,68.306
MmAk,F2,488,460.213,49.912,87.328,100.412,60.208
MmAk,F2,489,518.556,56.321,98.478,117.686,77.524
MmAk,F2,490,486.083,52.345,90.554,104.317,64.203
MmAk,F2,491,436.115,44.045,85.212,88.769,47.927
MmAk,F2,492,530.004,50.359,103.175,114.612,84.38
MmAk,F2,493,505.146,55.036,94.085,102.318,66.648
MmAk,F2,494,526.095,54.083,95.755,109.417,61.855
MmAk,F2,495,443.017,45.525,86.506,91.6,59.701
MmAk,F2,496,424.924,40.311,84.717,95.525,62.29
MmAk,F2,497,402.796,42.19,77.647,92.892,53.451
MmAk,F2,498,536.015,53.6,102.044,117.184,68.242
MmAk,F2,499,514.995,56.223,86.223,103.895,67.485
MmAk,F2,500,433.941,46.39,86.493,100.24,59.203
MmAk,F2,501,549.316,55.317,105.38,115.412,76.059
MmAk,F2,502,421.171,43.417,81.555,98.154,66.2
MmAk,F2,503,380.189,39.115,79.035,87.132,57.71
MmAk,F2,504,396.611,41.012,76.227,90.047,53.303
MmAk,F2,505,568.173,52.612,111.818,134.486,87.878
MmAk,F2,506,416.812,49.649,78.09,84.876,63.411
MmAk,F2,507,321.305,33.061,60.033,59.808,37.162
MmAk,F2,508,562.601,54.745,106.397,126.219,80.576
MmAk,F2,509,421.011,6.39,78.576,86.089,51.539
MmAk,F2,510,333.6,33.015,68.843,75.649,46.843
MmAk,F2,511,487.263,52.154,90.089,101.789,54.644
MmAk,F2,512,418.084,47.127,77.666,90.973,68.118
MmAk,F2,513,557.202,57.002,105.511,115.741,81.413
MmAk,F2,514,671.912,63.032,122.016,140.801,95.525
MmAk,F2,515,397.181,42.012,78.334,81.46,56.192
MmAk,F2,516,541.646,59.54,100.285,120.108,77.987
MmAk,F2,517,423.449,41.11,78.344,95.452,58.608
MmAk,F2,518,508.025,53.151,94.021,104.924,77.795
MmAk,F2,519,430.68,43.105,87.57,95.928,62.986
MmAk,F2,537,373.226,41.858,69.449,81.11,56.952
MmAk,F2,538,456.685,49.661,81.575,93.15,68.938
MmAk,F2,539,457.797,49.01,84.288,95.383,63.941
MmAk,F2,540,535.434,55.879,101.037,116.71,85.734
MmAk,F2,541,583.513,56.321,108.296,129.035,93.408
MmAk,F2,542,402.84,42.012,72.426,84.673,58.494
MmAk,F2,543,554.361,57.009,108.074,117.393,86.331
MmAk,F2,544,550.294,62,103.019,118.596,82.462
MmAk,F2,545,602.187,63.198,116.619,131.939,97.801
MmAk,F2,546,371.001,39.051,62.761,74.435,44.365
MmAk,F2,547,496.016,48.166,94.5,108.422,81.371
MmAk,F2,548,433.336,46.854,75.213,77.111,55.912
MmAk,F2,549,532.736,59.044,104.087,114.67,81.414
MmAk,F2,550,403.1,45.044,73.012,82.948,56.809
MmAk,F2,551,628.051,64.281,123.016,149.272,99.745
MmAk,F2,552,408.078,43.29,69,80.411,58.523
MmAk,F2,553,504.194,51.088,87.685,99.138,80.488
MmAk,F2,554,355.407,39.051,66.008,76.059,39.3
MmAk,F2,555,471.106,46.098,85.147,105.304,62.169
MmAk,F2,556,626.718,70.029,118.068,139.943,95.462
MmAk,F2,557,,,,,
MmAk,F2,558,,,,,
MmAk,F2,559,,,,,
MmAk,F2,560,,,,,
MmAk,F2,561,,,,,
MmAk,F2,562,,,,,
MmAk,F2,563,,,,,
MmAk,F2,564,,,,,
MmAk,F2,565,,,,,
MmAk,F2,566,,,,,
MmAk,F2,567,,,,,
MmAk,F2,568,,,,,
MmAk,F2,569,,,,,
MmAk,F2,570,,,,,
MmAk,F2,571,,,,,
MmAk,F2,572,,,,,
MmAk,F2,573,,,,,
MmAk,F2,574,,,,,
MmAk,F2,574,,,,,
MmAk,F2,575,,,,,
MmAk,F2,576,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
MmAk,,,,,,,
