Fish ID ,ID,Species_cross,Control Width ,Cadual_peduncle_pixel,Outside_ray_pixel,Longest_ray_pixel,longest_ray_number ,middle_ray_pixels,middle_ray_birfuraction,Notes
F2_652_Cold_jpg,652,MmAk_F2,258.017,47.766,73.46,95.058,,77.816,17.281,
F2_653_Cold_jpg,653,MmAk_F2,255.049,32.677,60.762,73.185,4,62.189,N/A,
F2_654_Cold_jpg,654,MmAk_F2,253.002,53.4,68.832,101.163,3,80.849,N/A,damage
F2_655_Cold_jpg,655,MmAk_F2,257.031,37.31,31.426,37.029,4,29.958,N/A,Shorter due to damage 
F2_656_Cold_jpg,656,MmAk_F2,253.097,55.009,72.796,104.178,3,90.922,N/A,
F2_657_Cold_jpg,657,MmAk_F2,255.008,50.619,170.06,92.272,3,81.394,46.81,
F2_658_cold.jpg,658,MmAk_F2,258.017,44.081,70.127,85.959,3,69.039,30.423,Fin not flat in water
F2_659_cold.jpg,659,MmAk_F2,255.159,29.927,46.539,57.701,3,50.804,34.86,damage
F2_660_cold.jpg,660,MmAk_F2,253.032,43.105,73.756,78.396,3,75.178,40.271,"Fin not flat in water, rounded"
F2_661_epin_CB ,661,MmAk_F2,0.734,0.124,0.17,0.213,3,0.182,0.081,"F2_661_cold.jpg not available, fin damaged"
F2_662_epin_CB ,662,MmAk_F2,0.743,0.14,0.306,0.306,4,0.273,0.142,
F2_663_cold_jpg ,663,MmAk_F2,254.049,36.335,63.789,72.836,3,65.347,28.459,
F2_664_cold_jpg ,664,MmAk_F2,259.124,42.048,69.857,101.128,3,81.333,24.002,
F2_665_cold_jpg ,665,MmAk_F2,258.07,66.547,120.517,138.11,3,111.72,63.832,
F2_666_cold_jpg ,666,MmAk_F2,259.008,64.57,102.231,130.631,3,111.689,40.153,Fin curved 
F2_667_cold_jpg ,667,MmAk_F2,257.194,62.155,107.477,119.101,3,102.772,56.633,
F2_668_cold_jpg ,668,MmAk_F2,259.031,48.374,51.057,87.686,3,78.447,33.553,Fin Curved 
F2_669_cold_jpg ,669,MmAk_F2,261.62,59.211,78.487,117.193,3,96.785,43.165,Pin covered outside ray
F2_670_cold_jpg ,670,MmAk_F2,235.077,49.046,80.554,94.687,3,77.747,35.579,
F2_671_cold_jpg ,671,MmAk_F2,234.002,53.038,81.437,86.209,3,38.328,44.721,
F2_672_cold_jpg ,672,MmAk_F2,234,29.311,32.728,54.016,3,33.013,20.875,Damage
F2_673_cold_jpg ,673,MmAk_F2,233.174,43.794,62.741,81.824,3,68.696,N/A,
F2_674_cold_jpg ,674,MmAk_F2,236.104,27.518,32.736,52.615,4,51.772,N/A,
F2_675_cold_jpg ,675,MmAk_F2,231.002,54.502,60.152,100.48,3,85.15,48.704,
F2_676_cold_jpg ,676,MmAk_F2,236.034,42,76.502,92.877,3,84.573,32.423,Fin curved
F2_677_cold_jpg ,677,MmAk_F2,236.002,37.002,58.736,73.34,3,69.793,34.713,
F2_678_cold_jpg ,678,MmAk_F2,231.019,57.107,89.951,113.649,3,92.176,51.245,
F2_679_cold_jpg ,679,MmAk_F2,240.019,48.01,77.078,102.694,4,84.654,45.992,
F2_680_cold_jpg ,680,MmAk_F2,228.079,54.009,85.088,108.849,3,88.494,47.405,
F2_681_cold_jpg ,681,MmAk_F2,234.361,40.668,72.615,89.604,3,78.23,40.995,
F2_682_cold_jpg ,682,MmAk_F2,233.26,37.855,66.537,87.781,3,73.619,31.646,
F2_683_cold_jpg ,683,MmAk_F2,235.077,32.962,43.967,64.065,3,58.297,25.467,
F2_700_cold_jpg,700,MmAk_F2,228.02,44.395,63.505,92.612,3,74.638,N/A,
F2_701_cold_jpg,701,MmAk_F2,231.078,57.624,91.066,114.562,3,91.679,42.851,
F2_702_cold_jpg,702,MmAk_F2,229.14,59.841,83.92,106.903,3,101.751,54.406,
F2_703_cold_jpg,703,MmAk_F2,229.558,56.726,88.107,114.824,N/A,100.506,42.267,
F2_714_cold_jpg,714,MmAk_F2,236.034,46,35.847,109.513,3,81.606,39.363,Damaged
F2_715_cold_jpg,715,MmAk_F2,248.032,48.005,79.767,101.225,3,75.462,34.647,Damaged 
F2_716_cold_jpg,716,MmAk_F2,245.051,45.011,65.736,101.511,3,74.673,43.983,Damaged 
F2_717_cold_jpg,717,MmAk_F2,246.033,56.502,62.58,114.853,3,89.568,68.529,
F2_718_cold_jpg,718,MmAk_F2,244.074,57.369,87.677,126.625,N/A,94.47,N/A,
F2_719_cold_jpg,719,MmAk_F2,252.032,50.359,103.832,131.736,N/A,100.624,54.941,
MmAk303_F2_307_cold.jpg,307,MmAk_F2,231.424,56.143,69.676,89.309,N/A,78.359,39.702,
MmAk303_F2_308_cold.CB,308,MmAk_F2,673,0.113,0.136,0.214,N/A,0.192,0.078,
MmAk303_F2_309_cold.jpg,309,MmAk_F2,232.243,52.18,79.6,96.734,3,79.785,39.693,Picture angled 
MmAk303_F2_310_cold.jpg,310,MmAk_F2,231.487,49.554,66.744,74.36,3,53.391,36.168,
MmAk303_F2_311_epin.jpg,311,MmAk_F2,232.138,32.638,54.93,78.646,N/A ,65.002,24.021,
MmAk303_F2_312_cold.jpg,312,MmAk_F2,232.175,38.333,55.041,77.224,3,64.087,24.388,
MmAk303_F2_313_cold.jpg,313,MmAk_F2,229.107,36.688,61.717,77.82,3,66.454,22.096,
MmAk303_F2_314_cold.jpg,314,MmAk_F2,229.02,35.258,70.02,83.067,3,69.187,26.636,
MmAk303_F2_315_cold.CB,315,MmAk_F2,0.663,0.134,0.181,0.237,3,0.205,0.076,
MmAk303_F2_316_cold.jpg,316,MmAk_F2,233.019,48.564,34.471,96.566,3,73.609,N/A,
MmAk303_F2_317_cold.jpg,317,MmAk_F2,231.002,46.011,43.743,79.878,3,64.713,24.716,
MmAk303_F2_318_cold.jpg,318,MmAk_F2,231.216,59,88.116,92.89,3,89.315,43.342,
MmAk303_F2_319_cold.jpg,319,MmAk_F2,232.019,38.707,63.971,74.461,3,60.299,25.348,
MmAk303_F2_320_cold.jpg,320,MmAk_F2,235.544,47.685,35.484,87.076,N/A,65.347,23.212,
MmAk303_F2_321_cold.jpg,321,MmAk_F2,238.472,55.036,73.583,100.435,N/A,82.217,47.713,
MmAk303_F2_322_cold.jpg,322,MmAk_F2,234.546,47.376,39.671,89.994,N/A,78.071,38.8,
MmAk303_F2_323_cold.jpg,323,MmAk_F2,237.076,47.4,60.668,87.843,3,73.255,33.797,
MmAk303_F2_324_cold.jpg,324,MmAk_F2,230.313,46.5,44.777,93.248,3,74.027,N/A,
MmAk303_F2_325_cold.jpg,325,MmAk_F2,238.002,44.3,73.079,87.397,3,70.705,25.168,
MmAk303_F2_326_cold.jpg,326,MmAk_F2,238.002,45.544,72.507,85.428,3,77.015,36.09,
MmAk303_F2_327_cold_CB,327,MmAk_F2,0.694,0.11,0.195,0.224,3,0.187,0.071,
MmAk303_F2_328_cold_jpg,328,MmAk_F2,244.074,40.798,87.242,96.128,3,82.67,35.584,Needle obstructing view for accurate measurements
MmAk303_F2_329_cold_jpg,329,MmAk_F2,239.47,34.668,59.831,67.412,3,49.446,29.935,
MmAk303_F2_330_cold_jpg,330,MmAk_F2,235.019,41.816,66.198,82.098,3,66.949,32.694,
MmAk303_F2_331_cold_jpg,331,MmAk_F2,233.009,49.092,77.878,97.609,3,84.344,45.274,
MmAk303_F2_332_cold_jpg,332,MmAk_F2,208.022,36.691,71.2,78.772,3,63.439,30.009,
MmAk303_F2_333_cold_jpg,333,MmAk_F2,211.038,34.359,60.554,71.554,3,56.729,21.578,
MmAk303_F2_334_cold_jpg,334,MmAk_F2,211.606,29.004,43.761,69.414,N/A,61.994,18.822,
MmAk303_F2_335_cold_jpg,335,MmAk_F2,214.457,43.364,42.191,95.945,3,81.394,39.623,
MmAk303_F2_336_cold_jpg,336,MmAk_F2,206.197,35.501,34.37,36.899,N/A,58.64,24.568,
